time,open,high,low,close
2025-09-24T06:00:00Z,1.180359,1.180638,1.179106,1.179245
2025-09-24T07:00:00Z,1.179523,1.179663,1.178828,1.179245
2025-09-24T08:00:00Z,1.178689,1.178828,1.177024,1.177579
2025-09-24T09:00:00Z,1.177718,1.177856,1.176609,1.177163
2025-09-24T10:00:00Z,1.177163,1.177302,1.175503,1.175503
2025-09-24T11:00:00Z,1.175503,1.175779,1.175088,1.175364
2025-09-24T12:00:00Z,1.175364,1.176055,1.174398,1.174674
2025-09-24T13:00:00Z,1.174674,1.174674,1.173434,1.174260
2025-09-24T14:00:00Z,1.173709,1.174950,1.173158,1.174674
2025-09-24T15:00:00Z,1.174674,1.174812,1.174122,1.174398
2025-09-24T16:00:00Z,1.174398,1.174674,1.173434,1.173709
2025-09-24T17:00:00Z,1.173571,1.174398,1.173571,1.174122
2025-09-24T18:00:00Z,1.174260,1.174260,1.173709,1.173985
2025-09-24T19:00:00Z,1.173847,1.174260,1.173571,1.174122
2025-09-24T20:00:00Z,1.174260,1.174260,1.173847,1.174122
2025-09-24T21:00:00Z,1.173709,1.174812,1.173709,1.174398
2025-09-24T22:00:00Z,1.174260,1.174812,1.174260,1.174812
2025-09-24T23:00:00Z,1.174812,1.174950,1.174536,1.174536
2025-09-25T00:00:00Z,1.174536,1.175088,1.174398,1.175088
2025-09-25T01:00:00Z,1.175226,1.175226,1.174398,1.174812
2025-09-25T02:00:00Z,1.174950,1.175503,1.174674,1.175364
2025-09-25T03:00:00Z,1.175226,1.175779,1.175088,1.175641
2025-09-25T04:00:00Z,1.175641,1.175641,1.175226,1.175503
2025-09-25T05:00:00Z,1.175503,1.175503,1.174398,1.174536
2025-09-25T06:00:00Z,1.174398,1.175503,1.174260,1.175088
2025-09-25T07:00:00Z,1.174812,1.175088,1.173571,1.173709
2025-09-25T08:00:00Z,1.173709,1.174812,1.173434,1.174536
2025-09-25T09:00:00Z,1.174674,1.175503,1.174398,1.174950
2025-09-25T10:00:00Z,1.174950,1.175641,1.174950,1.175088
2025-09-25T11:00:00Z,1.174950,1.174950,1.173847,1.174398
2025-09-25T12:00:00Z,1.174398,1.174674,1.169317,1.170275
2025-09-25T13:00:00Z,1.170138,1.171372,1.168770,1.169044
2025-09-25T14:00:00Z,1.168634,1.169727,1.167815,1.167951
2025-09-25T15:00:00Z,1.167815,1.168361,1.167133,1.167679
2025-09-25T16:00:00Z,1.167679,1.168634,1.167270,1.167406
2025-09-25T17:00:00Z,1.167542,1.167542,1.165637,1.166181
2025-09-25T18:00:00Z,1.166181,1.166181,1.165094,1.165501
2025-09-25T19:00:00Z,1.165637,1.166589,1.165637,1.166453
2025-09-25T20:00:00Z,1.166453,1.167270,1.166317,1.166997
2025-09-25T21:00:00Z,1.166997,1.167133,1.166453,1.166453
2025-09-25T22:00:00Z,1.166861,1.167133,1.166725,1.167133
2025-09-25T23:00:00Z,1.167133,1.167133,1.166317,1.166589
2025-09-26T00:00:00Z,1.166453,1.167406,1.166181,1.167406
2025-09-26T01:00:00Z,1.167542,1.167679,1.166997,1.167133
2025-09-26T02:00:00Z,1.167133,1.168224,1.167133,1.168088
2025-09-26T03:00:00Z,1.167951,1.168224,1.167815,1.168088
2025-09-26T04:00:00Z,1.168088,1.168497,1.167815,1.168224
2025-09-26T05:00:00Z,1.168361,1.168497,1.167951,1.168088
2025-09-26T06:00:00Z,1.167951,1.168634,1.167542,1.168361
2025-09-26T07:00:00Z,1.168088,1.168634,1.167270,1.167679
2025-09-26T08:00:00Z,1.167542,1.169044,1.167542,1.168361
2025-09-26T09:00:00Z,1.168224,1.168770,1.167951,1.168224
