time,open,high,low,close
2025-09-24T06:00:00Z,1.350931,1.351114,1.349400,1.349892
2025-09-24T07:00:00Z,1.349910,1.349983,1.348327,1.348563
2025-09-24T08:00:00Z,1.348000,1.348490,1.347473,1.348472
2025-09-24T09:00:00Z,1.348490,1.348745,1.347219,1.347818
2025-09-24T10:00:00Z,1.347745,1.347909,1.346584,1.346584
2025-09-24T11:00:00Z,1.346276,1.346946,1.345696,1.345823
2025-09-24T12:00:00Z,1.345804,1.346983,1.343869,1.344610
2025-09-24T13:00:00Z,1.344701,1.344791,1.342823,1.343851
2025-09-24T14:00:00Z,1.343165,1.345786,1.342877,1.345171
2025-09-24T15:00:00Z,1.345442,1.345696,1.344466,1.344701
2025-09-24T16:00:00Z,1.344682,1.344972,1.343978,1.344357
2025-09-24T17:00:00Z,1.344411,1.345605,1.344411,1.345388
2025-09-24T18:00:00Z,1.345406,1.345497,1.344483,1.344990
2025-09-24T19:00:00Z,1.344881,1.345116,1.344393,1.344719
2025-09-24T20:00:00Z,1.344809,1.344918,1.344429,1.344773
2025-09-24T21:00:00Z,1.345316,1.345370,1.344610,1.344755
2025-09-24T22:00:00Z,1.344863,1.345243,1.344791,1.345135
2025-09-24T23:00:00Z,1.345153,1.345370,1.344972,1.344972
2025-09-25T00:00:00Z,1.345080,1.345750,1.345008,1.345750
2025-09-25T01:00:00Z,1.345786,1.345913,1.344990,1.345442
2025-09-25T02:00:00Z,1.345497,1.346257,1.345424,1.345859
2025-09-25T03:00:00Z,1.345823,1.346239,1.345623,1.346239
2025-09-25T04:00:00Z,1.346276,1.346475,1.346058,1.346330
2025-09-25T05:00:00Z,1.346257,1.346312,1.345406,1.345515
2025-09-25T06:00:00Z,1.345316,1.346729,1.345098,1.346584
2025-09-25T07:00:00Z,1.346312,1.346348,1.343815,1.343815
2025-09-25T08:00:00Z,1.343887,1.345334,1.343598,1.345334
2025-09-25T09:00:00Z,1.345352,1.346004,1.344755,1.345044
2025-09-25T10:00:00Z,1.344990,1.345696,1.344701,1.344791
2025-09-25T11:00:00Z,1.344538,1.344682,1.341904,1.342246
2025-09-25T12:00:00Z,1.342192,1.342192,1.337506,1.338455
2025-09-25T13:00:00Z,1.338061,1.339351,1.336595,1.337167
2025-09-25T14:00:00Z,1.336916,1.338455,1.334810,1.334810
2025-09-25T15:00:00Z,1.334739,1.335113,1.334276,1.334882
2025-09-25T16:00:00Z,1.334989,1.335738,1.333689,1.333956
2025-09-25T17:00:00Z,1.333956,1.334347,1.332800,1.333600
2025-09-25T18:00:00Z,1.333707,1.333831,1.332534,1.333422
2025-09-25T19:00:00Z,1.333547,1.334116,1.333458,1.333742
2025-09-25T20:00:00Z,1.333725,1.334721,1.333707,1.334365
2025-09-25T21:00:00Z,1.334419,1.334632,1.333742,1.333849
2025-09-25T22:00:00Z,1.334045,1.334650,1.334045,1.334365
2025-09-25T23:00:00Z,1.334347,1.334347,1.333315,1.333600
2025-09-26T00:00:00Z,1.333440,1.334561,1.333173,1.334561
2025-09-26T01:00:00Z,1.334632,1.334846,1.334027,1.334152
