time,open,high,low,close
2025-09-24T06:00:00Z,0.662559,0.662954,0.661857,0.661901
2025-09-24T07:00:00Z,0.661813,0.662471,0.661813,0.662164
2025-09-24T08:00:00Z,0.661857,0.662339,0.661070,0.661594
2025-09-24T09:00:00Z,0.661551,0.661770,0.661157,0.661463
2025-09-24T10:00:00Z,0.661332,0.661332,0.660677,0.660851
2025-09-24T11:00:00Z,0.660720,0.660851,0.660371,0.660502
2025-09-24T12:00:00Z,0.660546,0.661332,0.659413,0.659718
2025-09-24T13:00:00Z,0.659761,0.659761,0.658935,0.659500
2025-09-24T14:00:00Z,0.659283,0.659848,0.658588,0.659500
2025-09-24T15:00:00Z,0.659326,0.659457,0.658762,0.658762
2025-09-24T16:00:00Z,0.658718,0.658718,0.657895,0.657895
2025-09-24T17:00:00Z,0.657895,0.658631,0.657895,0.658371
2025-09-24T18:00:00Z,0.658415,0.658415,0.658068,0.658111
2025-09-24T19:00:00Z,0.658155,0.658545,0.658155,0.658545
2025-09-24T20:00:00Z,0.658588,0.658588,0.658371,0.658501
2025-09-24T21:00:00Z,0.658458,0.658501,0.658328,0.658371
2025-09-24T22:00:00Z,0.658631,0.658805,0.658588,0.658805
2025-09-24T23:00:00Z,0.658762,0.658848,0.658631,0.658848
2025-09-25T00:00:00Z,0.658848,0.659500,0.658718,0.659500
2025-09-25T01:00:00Z,0.659500,0.659631,0.658762,0.658979
2025-09-25T02:00:00Z,0.659109,0.659805,0.659109,0.659674
2025-09-25T03:00:00Z,0.659892,0.660153,0.659892,0.660153
2025-09-25T04:00:00Z,0.660153,0.660284,0.659935,0.659979
2025-09-25T05:00:00Z,0.659979,0.660022,0.659283,0.659674
2025-09-25T06:00:00Z,0.659674,0.660197,0.659370,0.659674
2025-09-25T07:00:00Z,0.659587,0.659631,0.658848,0.658848
2025-09-25T08:00:00Z,0.658935,0.660284,0.658935,0.660110
2025-09-25T09:00:00Z,0.660153,0.660546,0.659892,0.659979
2025-09-25T10:00:00Z,0.659979,0.660240,0.659283,0.659283
2025-09-25T11:00:00Z,0.659239,0.659326,0.658501,0.658545
2025-09-25T12:00:00Z,0.658415,0.658588,0.655867,0.656254
2025-09-25T13:00:00Z,0.656211,0.656383,0.654750,0.654750
2025-09-25T14:00:00Z,0.654750,0.655437,0.654707,0.655050
2025-09-25T15:00:00Z,0.654922,0.655265,0.654664,0.655179
2025-09-25T16:00:00Z,0.655222,0.655308,0.654407,0.654493
2025-09-25T17:00:00Z,0.654450,0.654450,0.653467,0.653595
2025-09-25T18:00:00Z,0.653509,0.653851,0.652912,0.653638
2025-09-25T19:00:00Z,0.653638,0.653937,0.653638,0.653894
2025-09-25T20:00:00Z,0.653851,0.654322,0.653851,0.654236
2025-09-25T21:00:00Z,0.653894,0.654664,0.653680,0.653979
2025-09-25T22:00:00Z,0.654236,0.654407,0.654022,0.654108
2025-09-25T23:00:00Z,0.654065,0.654065,0.653595,0.653937
2025-09-26T00:00:00Z,0.653638,0.653979,0.653424,0.653979
2025-09-26T01:00:00Z,0.654065,0.654065,0.653552,0.653552
2025-09-26T02:00:00Z,0.653552,0.654622,0.653552,0.654279
2025-09-26T03:00:00Z,0.654322,0.654536,0.654279,0.654493
2025-09-26T04:00:00Z,0.654279,0.654493,0.654151,0.654322
2025-09-26T05:00:00Z,0.654365,0.654536,0.654193,0.654193
2025-09-26T06:00:00Z,0.654193,0.654579,0.653638,0.654022
2025-09-26T07:00:00Z,0.653808,0.654151,0.652912,0.653296
2025-09-26T08:00:00Z,0.653339,0.653808,0.653168,0.653339
2025-09-26T09:00:00Z,0.653339,0.653595,0.652912,0.652955
2025-09-26T10:00:00Z,0.652827,0.652955,0.652316,0.652529
2025-09-26T11:00:00Z,0.652529,0.653253,0.652486,0.652955
2025-09-26T12:00:00Z,0.652912,0.654022,0.652912,0.654022
2025-09-26T13:00:00Z,0.654236,0.654493,0.653595,0.654322
2025-09-26T14:00:00Z,0.654493,0.654750,0.653937,0.654493
2025-09-26T15:00:00Z,0.654536,0.655008,0.654236,0.654664
2025-09-26T16:00:00Z,0.654707,0.655093,0.654450,0.655050
2025-09-26T17:00:00Z,0.655179,0.655308,0.654965,0.655093
2025-09-26T18:00:00Z,0.655136,0.655351,0.654922,0.655351
2025-09-26T19:00:00Z,0.655222,0.655351,0.654922,0.655351
2025-09-26T20:00:00Z,0.655351,0.655351,0.654750,0.654965
2025-09-26T21:00:00Z,0.654879,0.654879,0.654879,0.654879
2025-09-28T23:00:00Z,0.655179,0.655437,0.655093,0.655394
2025-09-29T00:00:00Z,0.655609,0.655953,0.655480,0.655867
2025-09-29T01:00:00Z,0.655609,0.655996,0.655265,0.655609
2025-09-29T02:00:00Z,0.655652,0.656556,0.655652,0.656426
2025-09-29T03:00:00Z,0.656340,0.656944,0.656211,0.656901
2025-09-29T04:00:00Z,0.656814,0.657462,0.656685,0.657333
2025-09-29T05:00:00Z,0.657246,0.657462,0.657030,0.657246
2025-09-29T06:00:00Z,0.657160,0.657376,0.656685,0.656685
2025-09-29T07:00:00Z,0.656642,0.657462,0.656642,0.657160
2025-09-29T08:00:00Z,0.656901,0.657419,0.656642,0.657160
2025-09-29T09:00:00Z,0.657160,0.657333,0.656685,0.656901
2025-09-29T10:00:00Z,0.656858,0.657030,0.656469,0.656469
2025-09-29T11:00:00Z,0.656513,0.656944,0.656254,0.656944
2025-09-29T12:00:00Z,0.656858,0.657419,0.656297,0.657073
2025-09-29T13:00:00Z,0.657117,0.657333,0.656556,0.656814
2025-09-29T14:00:00Z,0.656987,0.657851,0.656599,0.657808
2025-09-29T15:00:00Z,0.657938,0.658155,0.657635,0.657851
2025-09-29T16:00:00Z,0.657765,0.658111,0.657678,0.657808
2025-09-29T17:00:00Z,0.657851,0.657851,0.657678,0.657722
2025-09-29T18:00:00Z,0.657635,0.658328,0.657635,0.658328
2025-09-29T19:00:00Z,0.658285,0.658285,0.658025,0.658068
2025-09-29T20:00:00Z,0.658025,0.658025,0.657765,0.657938
2025-09-29T21:00:00Z,0.657895,0.658025,0.657722,0.657722
2025-09-29T22:00:00Z,0.657938,0.658025,0.657765,0.658025
2025-09-29T23:00:00Z,0.658025,0.658285,0.658025,0.658025
2025-09-30T00:00:00Z,0.657851,0.658198,0.657462,0.658068
2025-09-30T01:00:00Z,0.658718,0.659022,0.658025,0.658025
2025-09-30T02:00:00Z,0.657851,0.659457,0.657851,0.659457
2025-09-30T03:00:00Z,0.659413,0.659674,0.658979,0.659065
2025-09-30T04:00:00Z,0.659196,0.661026,0.658892,0.660851
2025-09-30T05:00:00Z,0.660764,0.661070,0.660197,0.660197
2025-09-30T06:00:00Z,0.660371,0.660633,0.659718,0.660153
2025-09-30T07:00:00Z,0.660066,0.660851,0.657981,0.660458
2025-09-30T08:00:00Z,0.660502,0.661507,0.660502,0.661201
2025-09-30T09:00:00Z,0.661201,0.661419,0.660808,0.661419
2025-09-30T10:00:00Z,0.661551,0.661551,0.660939,0.661113
2025-09-30T11:00:00Z,0.661157,0.661332,0.660720,0.661157
2025-09-30T12:00:00Z,0.661288,0.661770,0.661157,0.661463
2025-09-30T13:00:00Z,0.661463,0.662427,0.661026,0.662208
2025-09-30T14:00:00Z,0.662339,0.663042,0.662208,0.662998
2025-09-30T15:00:00Z,0.662822,0.662822,0.661244,0.661507
2025-09-30T16:00:00Z,0.661507,0.662296,0.661376,0.662164
2025-09-30T17:00:00Z,0.662164,0.662339,0.661945,0.661945
2025-09-30T18:00:00Z,0.661901,0.662120,0.661638,0.661857
2025-09-30T19:00:00Z,0.661726,0.661901,0.661594,0.661857
2025-09-30T20:00:00Z,0.661638,0.661638,0.661376,0.661551
2025-09-30T21:00:00Z,0.661770,0.661770,0.661157,0.661376
2025-09-30T22:00:00Z,0.661638,0.661770,0.661463,0.661463
2025-09-30T23:00:00Z,0.661507,0.662032,0.661244,0.661332
