time,open,high,low,close
2025-09-24T06:00:00Z,147.876999,148.106003,147.863998,148.052994
2025-09-24T07:00:00Z,148.052994,148.100006,147.998993,148.039001
2025-09-24T08:00:00Z,148.037994,148.292007,148.011002,148.264008
2025-09-24T09:00:00Z,148.259995,148.343994,148.203003,148.272003
2025-09-24T10:00:00Z,148.278000,148.421005,148.272003,148.389999
2025-09-24T11:00:00Z,148.389999,148.518005,148.369003,148.494995
2025-09-24T12:00:00Z,148.494995,148.716003,148.425995,148.667007
2025-09-24T13:00:00Z,148.664993,148.774994,148.610992,148.699997
2025-09-24T14:00:00Z,148.709000,148.779999,148.587006,148.705994
2025-09-24T15:00:00Z,148.705994,148.774002,148.690002,148.707001
2025-09-24T16:00:00Z,148.712006,148.792007,148.679993,148.759995
2025-09-24T17:00:00Z,148.759995,148.766998,148.699997,148.733994
2025-09-24T18:00:00Z,148.735992,148.871994,148.731995,148.835007
2025-09-24T19:00:00Z,148.843002,148.888000,148.830002,148.854996
2025-09-24T20:00:00Z,148.858994,148.914993,148.848999,148.889999
2025-09-24T21:00:00Z,148.891998,148.891998,148.671997,148.768005
2025-09-24T22:00:00Z,148.753998,148.848999,148.753998,148.794998
2025-09-24T23:00:00Z,148.798996,148.832993,148.720993,148.778000
2025-09-25T00:00:00Z,148.778000,148.792007,148.557007,148.569000
2025-09-25T01:00:00Z,148.569000,148.858994,148.554001,148.746994
2025-09-25T02:00:00Z,148.746994,148.757996,148.608994,148.744003
2025-09-25T03:00:00Z,148.748001,148.774002,148.654007,148.667999
2025-09-25T04:00:00Z,148.664001,148.699997,148.595001,148.600006
2025-09-25T05:00:00Z,148.602005,148.813004,148.593002,148.806000
2025-09-25T06:00:00Z,148.804993,148.860992,148.723999,148.778000
2025-09-25T07:00:00Z,148.781006,148.826996,148.630005,148.822006
2025-09-25T08:00:00Z,148.815002,148.824005,148.658005,148.737000
2025-09-25T09:00:00Z,148.737000,148.811996,148.679993,148.785995
2025-09-25T10:00:00Z,148.791000,148.798996,148.720001,148.798996
2025-09-25T11:00:00Z,148.794998,148.893005,148.789993,148.830002
2025-09-25T12:00:00Z,148.835007,149.354996,148.794006,149.242004
2025-09-25T13:00:00Z,149.237000,149.475006,149.132004,149.421997
2025-09-25T14:00:00Z,149.425003,149.636002,149.335007,149.630005
2025-09-25T15:00:00Z,149.628998,149.843002,149.619003,149.783005
2025-09-25T16:00:00Z,149.785004,149.865997,149.703995,149.806000
2025-09-25T17:00:00Z,149.813004,149.919998,149.753006,149.804993
2025-09-25T18:00:00Z,149.804993,149.927994,149.720001,149.882996
2025-09-25T19:00:00Z,149.886002,149.897003,149.720993,149.770996
2025-09-25T20:00:00Z,149.766998,149.811005,149.740997,149.783997
2025-09-25T21:00:00Z,149.781998,149.824005,149.723007,149.759995
2025-09-25T22:00:00Z,149.740997,149.804993,149.710007,149.751007
2025-09-25T23:00:00Z,149.729004,149.955994,149.725006,149.867996
2025-09-26T00:00:00Z,149.867996,149.945007,149.632004,149.679001
2025-09-26T01:00:00Z,149.677994,149.848007,149.626999,149.822006
2025-09-26T02:00:00Z,149.824997,149.832001,149.686005,149.716995
2025-09-26T03:00:00Z,149.716995,149.744003,149.666000,149.699997
2025-09-26T04:00:00Z,149.699997,149.729996,149.638000,149.639008
2025-09-26T05:00:00Z,149.639008,149.720993,149.610992,149.707993
2025-09-26T06:00:00Z,149.710007,149.798004,149.690002,149.716995
2025-09-26T07:00:00Z,149.720001,149.884995,149.718994,149.845993
2025-09-26T08:00:00Z,149.841995,149.848007,149.645004,149.744003
2025-09-26T09:00:00Z,149.744995,149.796005,149.705994,149.781006
2025-09-26T10:00:00Z,149.785004,149.951004,149.774002,149.886002
2025-09-26T11:00:00Z,149.891998,149.897995,149.750000,149.781998
2025-09-26T12:00:00Z,149.781998,149.839005,149.580994,149.623001
2025-09-26T13:00:00Z,149.617996,149.783005,149.505005,149.735001
2025-09-26T14:00:00Z,149.740997,149.740997,149.457001,149.498001
2025-09-26T15:00:00Z,149.496994,149.574005,149.419998,149.518997
2025-09-26T16:00:00Z,149.518997,149.595001,149.488007,149.552002
2025-09-26T17:00:00Z,149.546005,149.559998,149.472000,149.514999
2025-09-26T18:00:00Z,149.516998,149.552994,149.399994,149.434006
2025-09-26T19:00:00Z,149.440002,149.559006,149.431000,149.501999
2025-09-26T20:00:00Z,149.505997,149.548996,149.438995,149.453995
2025-09-28T23:00:00Z,149.464005,149.473999,149.332993,149.410004
2025-09-29T00:00:00Z,149.408005,149.421005,149.106003,149.171997
2025-09-29T01:00:00Z,149.171005,149.279007,149.011993,149.085999
2025-09-29T02:00:00Z,149.089005,149.104996,148.895996,148.938004
2025-09-29T03:00:00Z,148.936996,148.959000,148.878998,148.929001
2025-09-29T04:00:00Z,148.931000,148.977997,148.882004,148.942993
2025-09-29T05:00:00Z,148.942993,148.979004,148.737000,148.776993
2025-09-29T06:00:00Z,148.772995,148.852997,148.705002,148.817001
2025-09-29T07:00:00Z,148.822006,148.837006,148.516998,148.570007
2025-09-29T08:00:00Z,148.572998,148.621002,148.466995,148.522003
2025-09-29T09:00:00Z,148.522995,148.634995,148.466995,148.598007
2025-09-29T10:00:00Z,148.598007,148.684998,148.565994,148.664993
2025-09-29T11:00:00Z,148.662003,148.798996,148.615997,148.628998
2025-09-29T12:00:00Z,148.623993,148.811996,148.570007,148.598007
2025-09-29T13:00:00Z,148.598007,148.738007,148.475006,148.576996
2025-09-29T14:00:00Z,148.572998,148.651993,148.524994,148.643997
2025-09-29T15:00:00Z,148.649994,148.651001,148.494995,148.567993
2025-09-29T16:00:00Z,148.563004,148.615005,148.552994,148.578003
2025-09-29T17:00:00Z,148.574997,148.647995,148.544998,148.580994
2025-09-29T18:00:00Z,148.580002,148.641006,148.539993,148.634003
2025-09-29T19:00:00Z,148.632004,148.673996,148.552002,148.626999
2025-09-29T20:00:00Z,148.626007,148.695999,148.559006,148.578003
2025-09-29T21:00:00Z,148.582993,148.651001,148.529007,148.582001
2025-09-29T22:00:00Z,148.576004,148.653000,148.554993,148.595993
2025-09-29T23:00:00Z,148.591995,148.630005,148.494995,148.613007
2025-09-30T00:00:00Z,148.613998,148.845001,148.546005,148.789993
2025-09-30T01:00:00Z,148.792999,148.792999,148.595993,148.746994
2025-09-30T02:00:00Z,148.746002,148.802002,148.621994,148.714005
