time,open,high,low,close
2026-07-02T23:00:00Z,1.334490,1.334597,1.334383,1.334437
2026-07-02T23:15:00Z,1.334454,1.334775,1.334454,1.334757
2026-07-02T23:30:00Z,1.334704,1.334704,1.334116,1.334561
2026-07-02T23:45:00Z,1.334561,1.334561,1.333867,1.333867
2026-07-03T00:00:00Z,1.334027,1.334045,1.333671,1.333831
2026-07-03T00:15:00Z,1.333742,1.333956,1.333547,1.333814
2026-07-03T00:30:00Z,1.333778,1.333849,1.333653,1.333707
2026-07-03T00:45:00Z,1.333760,1.334810,1.333742,1.334810
2026-07-03T01:00:00Z,1.334828,1.335274,1.334810,1.335274
2026-07-03T01:15:00Z,1.335381,1.336398,1.335381,1.335916
2026-07-03T01:30:00Z,1.335845,1.336148,1.335702,1.336005
2026-07-03T01:45:00Z,1.335987,1.335987,1.335577,1.335684
2026-07-03T02:00:00Z,1.335613,1.336273,1.335559,1.336166
2026-07-03T02:15:00Z,1.336202,1.336648,1.336202,1.336648
2026-07-03T02:30:00Z,1.336577,1.336612,1.336273,1.336344
2026-07-03T02:45:00Z,1.336523,1.336523,1.336130,1.336130
2026-07-03T03:00:00Z,1.336184,1.336184,1.335773,1.335880
2026-07-03T03:15:00Z,1.336023,1.336023,1.335827,1.335934
2026-07-03T03:30:00Z,1.336023,1.336041,1.335809,1.335952
2026-07-03T03:45:00Z,1.335880,1.336273,1.335880,1.336220
2026-07-03T04:00:00Z,1.336148,1.336148,1.335827,1.336112
2026-07-03T04:15:00Z,1.336220,1.336416,1.336220,1.336398
2026-07-03T04:30:00Z,1.336291,1.336523,1.336291,1.336470
2026-07-03T04:45:00Z,1.336452,1.336612,1.336380,1.336541
2026-07-03T05:00:00Z,1.336595,1.337542,1.336595,1.337435
2026-07-03T05:15:00Z,1.337524,1.337739,1.337167,1.337381
2026-07-03T05:30:00Z,1.337310,1.337417,1.336952,1.337023
2026-07-03T05:45:00Z,1.337077,1.337077,1.336523,1.336523
2026-07-03T06:00:00Z,1.336630,1.336970,1.336541,1.336738
2026-07-03T06:15:00Z,1.336916,1.337524,1.336755,1.337167
2026-07-03T06:30:00Z,1.337041,1.338025,1.336970,1.337685
2026-07-03T06:45:00Z,1.337775,1.337811,1.336863,1.337023
2026-07-03T07:00:00Z,1.336791,1.336863,1.336398,1.336702
2026-07-03T07:15:00Z,1.336630,1.337327,1.336398,1.337327
2026-07-03T07:30:00Z,1.337184,1.337184,1.336398,1.336827
2026-07-03T07:45:00Z,1.336648,1.337578,1.336648,1.337184
2026-07-03T08:00:00Z,1.337345,1.337345,1.336934,1.336970
2026-07-03T08:15:00Z,1.336916,1.336934,1.336327,1.336666
2026-07-03T08:30:00Z,1.336380,1.336595,1.336112,1.336255
2026-07-03T08:45:00Z,1.336291,1.336327,1.335809,1.336130
2026-07-03T09:00:00Z,1.336041,1.336130,1.335631,1.335755
2026-07-03T09:15:00Z,1.335809,1.336148,1.335755,1.335863
2026-07-03T09:30:00Z,1.335809,1.336184,1.335809,1.336041
2026-07-03T09:45:00Z,1.335916,1.335916,1.335203,1.335203
2026-07-03T10:00:00Z,1.335113,1.335684,1.335096,1.335434
2026-07-03T10:15:00Z,1.335524,1.335631,1.335310,1.335488
2026-07-03T10:30:00Z,1.335363,1.335720,1.335363,1.335720
2026-07-03T10:45:00Z,1.335524,1.336095,1.335524,1.335755
2026-07-03T11:00:00Z,1.335613,1.336327,1.335595,1.336327
2026-07-03T11:15:00Z,1.336434,1.336434,1.335916,1.336112
2026-07-03T11:30:00Z,1.336059,1.336059,1.335613,1.335684
2026-07-03T11:45:00Z,1.335648,1.335827,1.335399,1.335827
2026-07-03T12:00:00Z,1.335827,1.335952,1.335559,1.335934
2026-07-03T12:15:00Z,1.336023,1.336023,1.335613,1.335738
2026-07-03T12:30:00Z,1.335880,1.336059,1.335666,1.335880
2026-07-03T12:45:00Z,1.335791,1.335898,1.335666,1.335666
2026-07-03T13:00:00Z,1.335541,1.335541,1.334917,1.335327
2026-07-03T13:15:00Z,1.335113,1.335524,1.334971,1.335345
2026-07-03T13:30:00Z,1.335417,1.335417,1.335042,1.335220
2026-07-03T13:45:00Z,1.335310,1.335345,1.334775,1.334775
2026-07-03T14:00:00Z,1.334953,1.335203,1.334721,1.334953
2026-07-03T14:15:00Z,1.335024,1.335613,1.335007,1.335452
2026-07-03T14:30:00Z,1.335524,1.335595,1.335327,1.335363
2026-07-03T14:45:00Z,1.335203,1.335845,1.335203,1.335720
2026-07-03T15:00:00Z,1.335684,1.335738,1.335327,1.335381
2026-07-03T15:15:00Z,1.335310,1.335631,1.335131,1.335274
2026-07-03T15:30:00Z,1.335470,1.335541,1.335345,1.335363
2026-07-03T15:45:00Z,1.335292,1.335631,1.335167,1.335631
2026-07-03T16:00:00Z,1.335541,1.335613,1.335220,1.335595
2026-07-03T16:15:00Z,1.335577,1.335613,1.335327,1.335399
2026-07-03T16:30:00Z,1.335399,1.335399,1.335167,1.335167
2026-07-03T16:45:00Z,1.335292,1.335524,1.335274,1.335524
2026-07-03T17:00:00Z,1.335559,1.335809,1.335488,1.335684
2026-07-03T17:15:00Z,1.335684,1.335773,1.335684,1.335702
2026-07-03T17:30:00Z,1.335702,1.335702,1.335524,1.335613
2026-07-03T17:45:00Z,1.335559,1.335702,1.335559,1.335702
2026-07-03T18:00:00Z,1.335648,1.335791,1.335648,1.335720
2026-07-03T18:15:00Z,1.335702,1.335791,1.335577,1.335648
2026-07-03T18:30:00Z,1.335648,1.335684,1.335613,1.335648
2026-07-03T18:45:00Z,1.335666,1.335773,1.335613,1.335773
2026-07-03T19:00:00Z,1.335631,1.335827,1.335613,1.335613
2026-07-03T19:15:00Z,1.335577,1.335577,1.335452,1.335488
2026-07-03T19:30:00Z,1.335541,1.335541,1.335470,1.335524
2026-07-03T19:45:00Z,1.335541,1.335541,1.335363,1.335381
